id|name|imdbScore|year|category|link
83|Avec ou sans hommes|6.4|1995|comedy|https://www.primevideo.com/detail/0NPZ2PYQ4M25UXF00359PKAV70/ref=br_def_r_br_c_HxROdRsmr_1_218
94|Mi-Temps Au Mitard|6.4|2005|comedy|https://www.primevideo.com/detail/0GQGNBMCENOLSEVUA3SOPFE0VU/ref=br_def_r_br_c_HxROdRsmr_1_389
29|Funny People|6.3|2009|comedy|https://www.primevideo.com/detail/0U8E18Y6IQ9F2A4X7I8GKKKMAP/ref=br_def_r_br_c_HxROdRsmr_1_49
99|The Foot Fist Way|6.3|2008|comedy|https://www.primevideo.com/detail/0QK96ORDBNH6FGX4EX8BIBG244/ref=br_def_r_br_c_HxROdRsmr_1_442
31|Duplicity|6.2|2009|comedy|https://www.primevideo.com/detail/0OO1TFU7G0EWCNYL7B4WA929ET/ref=br_def_r_br_c_HxROdRsmr_1_51
98|Orange County|6.2|2002|comedy|https://www.primevideo.com/detail/0P9CYBJLS1YOS4F2D5O9EH4K33/ref=br_def_r_br_c_HxROdRsmr_1_440
5|(S)ex List|6.1|2011|comedy|https://www.primevideo.com/detail/0QOJE4QB963BTN638PRFCA5GJR/ref=br_def_r_br_c_HxROdRsmr_1_9
15|Casper|6.1|1995|comedy|https://www.primevideo.com/detail/0JKRCPK8N8E4WNWNQT06H7B2F9/ref=br_def_r_br_c_HxROdRsmr_1_25
51|Disjoncte|6.1|1996|comedy|https://www.primevideo.com/detail/0HX3CON3C9KTLH8ZZ1OKHM11DC/ref=br_def_r_br_c_HxROdRsmr_1_115
91|Visionnistes (Visioneers)|6.1|2008|comedy|https://www.primevideo.com/detail/0G564NQ5MXTBJ3VKXZRZI8EIPA/ref=br_def_r_br_c_HxROdRsmr_1_362
14|Endiablé|6.0|2000|comedy|https://www.primevideo.com/detail/0JTB4ZN51LUQKL3HT2ZTBE4YFU/ref=br_def_r_br_c_HxROdRsmr_1_23
23|Destination Mariage et plus si affinités…|6.0|2018|comedy|https://www.primevideo.com/detail/0GUSC9AP9PDPRZGLGNH0L44RFV/ref=br_def_r_br_c_HxROdRsmr_1_39
24|Aiguilleurs, Les|6.0|1999|comedy|https://www.primevideo.com/detail/0N8X9JG5DAJY8RIG2FWPN5NXWO/ref=br_def_r_br_c_HxROdRsmr_1_44
39|Copains Pour Toujours|6.0|2010|comedy|https://www.primevideo.com/detail/0JGI7O3DZTYZ9QBWGFACXH7TBN/ref=br_def_r_br_c_HxROdRsmr_1_71
48|Jimmy Neutron: Un Garçon Génial|6.0|2001|comedy|https://www.primevideo.com/detail/0MW4UHGJOG2SISQBVPNO1Z8MDD/ref=br_def_r_br_c_HxROdRsmr_1_103
